query_id,fenomeno,tipo,result_found,ndcg_at_10,f1_at_3,precision_at_3,recall_at_3,predicted_sources,relevant_sources,overlap_sources,unresolved_doc_ids
qa001,1,cross_lingual,True,0.0,0.0,0.0,0.0,AIINDEX_ai-index-2024-ch2-technical-performance.pdf | AIINDEX_ai-index-2025-chinese-version.pdf | ILIA_documento-ilia-2025.pdf,AIINDEX_ai-index-report-2024.pdf,,
qa002,1,numerico,True,1.0,0.5,0.3333333333333333,1.0,RUTAN_informe-geial-latam.pdf | RUTAN_informe-geial-medellin.pdf | ILIA_2024.pdf,RUTAN_informe-geial-latam.pdf,RUTAN_informe-geial-latam.pdf,
qa003,1,numerico,True,0.0,0.5,0.3333333333333333,1.0,AIINDEX_ai-index-report-2024.pdf,AIINDEX_ai-index-report-2024.pdf,AIINDEX_ai-index-report-2024.pdf,
qa004,1,estandar,True,0.0,0.5,0.3333333333333333,1.0,RUTAN_informe-geial-medellin.pdf | RUTAN_informe-geial-latam.pdf | SIPRI_rpp-florian-katongo.pdf,RUTAN_informe-geial-latam.pdf,RUTAN_informe-geial-latam.pdf,
qa005,1,multi_documento,True,0.0,0.0,0.0,0.0,AIINDEX_ai-index-report-2026.pdf,AIINDEX_ai-index-report-2024.pdf | AIINDEX_ai-index-report-2025.pdf,,
qa006,2,cross_lingual,True,1.0,0.5,0.3333333333333333,1.0,SWF_investimento-respons-vel-no-setor-espacial.pdf | SWF_12-2-portuguese-translation-responsible-investment-in-the-space-sector-a-guide-to-stew.json | ESA_space-environment-report-i4r0-20200911.pdf,SWF_investimento-respons-vel-no-setor-espacial.pdf,SWF_investimento-respons-vel-no-setor-espacial.pdf,
qa007,2,cross_lingual,True,0.0,0.0,0.0,0.0,SWF_69cffa84a1834078d6f9fe5e-2018-global-counterspace-capabilities-an-open-source-assessme.pdf | SWF_2025-executive-summary-french.pdf,SWF_2025-executive-summary-spanish.pdf,,
qa008,2,numerico,True,1.0,0.5,0.3333333333333333,1.0,SWF_investimento-respons-vel-no-setor-espacial.pdf | AIINDEX_ai-index-report-2026.pdf | CSIS_240417-swope-spacethreatassessment-2024.pdf,SWF_investimento-respons-vel-no-setor-espacial.pdf,SWF_investimento-respons-vel-no-setor-espacial.pdf,
qa009,2,estandar,True,0.0,0.0,0.0,0.0,SWF_2-2-2020-global-counterspace-capabilities-report.json,SWF_gcsr-2026-execsum-eng.pdf,,
qa010,2,numerico,True,0.0,0.0,0.0,0.0,SWF_global-counterspace-capabilities-2026-hr.pdf | SWF_16-global-counterspace-capabilities-report-insight-counterspace-surge-2026.json,SWF_gcsr-2026-execsum-eng.pdf,,
qa011,3,estandar,True,1.0,0.5,0.3333333333333333,1.0,MAPPOEA_xxxi-informe-semestral-mappoea.pdf | MAPPOEA_2008-una-experiencia-de-justicia-comunitaria-conciliemos.pdf | MAPPOEA_informe-semestral-36-mappoea-1.pdf,MAPPOEA_informe-semestral-36-mappoea-1.pdf,MAPPOEA_informe-semestral-36-mappoea-1.pdf,
qa012,3,numerico,True,0.24630238874073,0.0,0.0,0.0,RESDAL_atlas-2024-esp.pdf | RESDAL_atlas-2012-ing-completo.pdf | RESDAL_24-esp-paraguay.pdf,RESDAL_13-esp-colombia.pdf,,
qa013,3,estandar,True,0.38685280723454163,0.0,0.0,0.0,SIPRI_2025-11-19-xcept-policy-brief-sudanese-refugee-women-in-eastern-chad.pdf | SIPRI_2026-04-27-trends-world-military-expenditure-2025.json | SIPRI_2025-06-24-export-controls-and-spyware-enhancing-oversight-transparency-and-restraint.json,SIPRI_2025-autonomous-weapon-systems-and-ai-enabled-decision-support-systems-military-targeting-.json,,
qa014,3,cross_lingual,True,1.0,0.5,0.3333333333333333,1.0,SIPRI_2025-bias-military-artificial-intelligence-and-compliance-international-humanitarian-law.json | SIPRI_ko-laws-v.pdf | SIPRI_2026-preventing-biological-weapons-proliferation-operational-applications-emerging-technol.json,SIPRI_2025-bias-military-artificial-intelligence-and-compliance-international-humanitarian-law.json,SIPRI_2025-bias-military-artificial-intelligence-and-compliance-international-humanitarian-law.json,
qa015,3,multi_documento,True,0.0,0.0,0.0,0.0,DAIO_study2634-fragmented-efforts-joao-paulo-moralez-santiago-rivas.pdf | RESDAL_atlas-2024-esp.pdf | RESDAL_atlas-completo-2.pdf,RESDAL_03-esp-elpresupuesto.pdf | RESDAL_13-esp-colombia.pdf,,
